"","name","label"
"1","caseid","case identification"
"2","v000","country code and phase"
"3","v001","cluster number"
"4","v002","household number"
"5","v003","respondent's line number"
"6","v004","ultimate area unit"
"7","v005","women's individual sample weight (6 decimals)"
"8","v006","month of interview"
"9","v007","year of interview"
"10","v008","date of interview (cmc)"
"11","v008a","date of interview century day code (cdc)"
"12","v009","respondent's month of birth"
"13","v010","respondent's year of birth"
"14","v011","date of birth (cmc)"
"15","v012","respondent's current age"
"16","v013","age in 5-year groups"
"17","v014","completeness of age information"
"18","v015","result of individual interview"
"19","v016","day of interview"
"20","v017","cmc start of calendar"
"21","v018","row of month of interview"
"22","v019","length of calendar"
"23","v019a","number of calendar columns"
"24","v020","ever-married sample"
"25","v021","primary sampling unit"
"26","v022","sample strata for sampling errors"
"27","v023","stratification used in sample design"
"28","v024","region"
"29","v025","type of place of residence"
"30","v026","na - de facto place of residence"
"31","v027","number of visits"
"32","v028","interviewer identification"
"33","v029","na - keyer identification"
"34","v030","field supervisor"
"35","v031","na - field editor"
"36","v032","na - office editor"
"37","v034","line number of husband"
"38","v040","cluster altitude in meters"
"39","v042","household selected for hemoglobin"
"40","v044","selected for domestic violence module"
"41","v045a","language of questionnaire"
"42","v045b","language of interview"
"43","v045c","native language of respondent"
"44","v046","translator used"
"45","v047","team number"
"46","v048","na - team supervisor"
"47","v101","region"
"48","v102","type of place of residence"
"49","v103","na - childhood place of residence"
"50","v104","years lived in place of residence"
"51","v105","type of place of previous residence"
"52","v105a","region of previous residence"
"53","v106","highest educational level"
"54","v107","highest year of education"
"55","v113","source of drinking water"
"56","v115","time to get to water source"
"57","v116","type of toilet facility"
"58","v119","household has: electricity"
"59","v120","household has: radio"
"60","v121","household has: television"
"61","v122","household has: refrigerator"
"62","v123","household has: bicycle"
"63","v124","household has: motorcycle/scooter"
"64","v125","household has: car/truck"
"65","v127","main floor material"
"66","v128","main wall material"
"67","v129","main roof material"
"68","v130","religion"
"69","v131","ethnicity"
"70","v133","education in single years"
"71","v134","na - de facto place of residence"
"72","v135","usual resident or visitor"
"73","v136","number of household members (listed)"
"74","v137","number of children 5 and under in household (de jure)"
"75","v138","number of eligible women in household (de facto)"
"76","v139","de jure region of residence"
"77","v140","de jure type of place of residence"
"78","v141","na - de jure place of residence"
"79","v149","educational attainment"
"80","v150","relationship to household head"
"81","v151","sex of household head"
"82","v152","age of household head"
"83","v153","household has: telephone (land-line)"
"84","awfactt","all woman factor - total"
"85","awfactu","all woman factor - urban/rural"
"86","awfactr","all woman factor - regional"
"87","awfacte","all woman factor - educational"
"88","awfactw","all woman factor - wealth index"
"89","v155","literacy"
"90","v156","na - ever participated in a literacy program outside of primary"
"91","v157","frequency of reading newspaper or magazine"
"92","v158","frequency of listening to radio"
"93","v159","frequency of watching television"
"94","v160","toilet facilities shared with other households"
"95","v161","type of cooking fuel"
"96","v166","result of salt test for iodine"
"97","v167","na - number of trips in last 12 months"
"98","v168","na - away for more than one month in last 12 months"
"99","v169a","owns a mobile telephone"
"100","v169b","last 12 months use mobile telephone for financial transactions"
"101","v169c","is respondent's mobile phone a smart phone"
"102","v170","has an account in a bank or other financial institution"
"103","v171a","use of internet"
"104","v171b","frequency of using internet last month"
"105","v172","respondent state of birth"
"106","v173","respondent country of birth"
"107","v174m","month move to current place of residence"
"108","v174y","year move to current place of residence"
"109","v175","reason for moving to current place of residence"
"110","v176","self reported health status"
"111","v177","money put/taken from bank account last 12 months"
"112","v190","wealth index combined"
"113","v191","wealth index factor score combined (5 decimals)"
"114","v190a","wealth index for urban/rural"
"115","v191a","wealth index factor score for urban/rural (5 decimals)"
"116","ml101","type of mosquito bed net(s) slept under last night"
"117","bidx_01","birth column number"
"118","bidx_02","birth column number"
"119","bidx_03","birth column number"
"120","bidx_04","birth column number"
"121","bidx_05","birth column number"
"122","bidx_06","birth column number"
"123","bidx_07","birth column number"
"124","bidx_08","birth column number"
"125","bidx_09","birth column number"
"126","bidx_10","birth column number"
"127","bidx_11","birth column number"
"128","bidx_12","birth column number"
"129","bidx_13","birth column number"
"130","bidx_14","birth column number"
"131","bidx_15","birth column number"
"132","bidx_16","birth column number"
"133","bidx_17","birth column number"
"134","bidx_18","birth column number"
"135","bidx_19","birth column number"
"136","bidx_20","birth column number"
"137","bidxp_01","index to pregnancy history"
"138","bidxp_02","index to pregnancy history"
"139","bidxp_03","index to pregnancy history"
"140","bidxp_04","index to pregnancy history"
"141","bidxp_05","index to pregnancy history"
"142","bidxp_06","index to pregnancy history"
"143","bidxp_07","index to pregnancy history"
"144","bidxp_08","index to pregnancy history"
"145","bidxp_09","index to pregnancy history"
"146","bidxp_10","index to pregnancy history"
"147","bidxp_11","index to pregnancy history"
"148","bidxp_12","index to pregnancy history"
"149","bidxp_13","index to pregnancy history"
"150","bidxp_14","index to pregnancy history"
