"","name","label"
"1","caseid","case identification"
"2","bidx","birth column number"
"3","v000","country code and phase"
"4","v001","cluster number"
"5","v002","household number"
"6","v003","respondent's line number"
"7","v004","ultimate area unit"
"8","v005","women's individual sample weight (6 decimals)"
"9","v006","month of interview"
"10","v007","year of interview"
"11","v008","date of interview (cmc)"
"12","v008a","date of interview century day code (cdc)"
"13","v009","respondent's month of birth"
"14","v010","respondent's year of birth"
"15","v011","date of birth (cmc)"
"16","v012","respondent's current age"
"17","v013","age in 5-year groups"
"18","v014","completeness of age information"
"19","v015","result of individual interview"
"20","v016","day of interview"
"21","v017","cmc start of calendar"
"22","v018","row of month of interview"
"23","v019","length of calendar"
"24","v019a","number of calendar columns"
"25","v020","ever-married sample"
"26","v021","primary sampling unit"
"27","v022","sample strata for sampling errors"
"28","v023","stratification used in sample design"
"29","v024","region"
"30","v025","type of place of residence"
"31","v026","na - de facto place of residence"
"32","v027","number of visits"
"33","v028","interviewer identification"
"34","v029","na - keyer identification"
"35","v030","field supervisor"
"36","v031","na - field editor"
"37","v032","na - office editor"
"38","v034","line number of husband"
"39","v040","cluster altitude in meters"
"40","v042","household selected for hemoglobin"
"41","v044","selected for domestic violence module"
"42","v045a","language of questionnaire"
"43","v045b","language of interview"
"44","v045c","native language of respondent"
"45","v046","translator used"
"46","v047","team number"
"47","v048","na - team supervisor"
"48","v101","region"
"49","v102","type of place of residence"
"50","v103","na - childhood place of residence"
"51","v104","years lived in place of residence"
"52","v105","type of place of previous residence"
"53","v105a","region of previous residence"
"54","v106","highest educational level"
"55","v107","highest year of education"
"56","v113","source of drinking water"
"57","v115","time to get to water source"
"58","v116","type of toilet facility"
"59","v119","household has: electricity"
"60","v120","household has: radio"
"61","v121","household has: television"
"62","v122","household has: refrigerator"
"63","v123","household has: bicycle"
"64","v124","household has: motorcycle/scooter"
"65","v125","household has: car/truck"
"66","v127","main floor material"
"67","v128","main wall material"
"68","v129","main roof material"
"69","v130","religion"
"70","v131","ethnicity"
"71","v133","education in single years"
"72","v134","na - de facto place of residence"
"73","v135","usual resident or visitor"
"74","v136","number of household members (listed)"
"75","v137","number of children 5 and under in household (de jure)"
"76","v138","number of eligible women in household (de facto)"
"77","v139","de jure region of residence"
"78","v140","de jure type of place of residence"
